Problem,Dim,Time,Alg1,Alg2,Winner,F1,F2
rastrigin,186,38.2,random_search,probabilistic_descent,1,2741.771923167841,1320.302844603464
ackley,8,2.6,de_rand_2_bin,random_search,0,0.0,9.62263086041724
ackley,13,3.6,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,3.552713678800501e-15,7.701572712903726e-11
rastrigin,72,15.4,generating_set_search,random_search,0,9.094947017729282e-13,912.0261666848116
rosenbrock,8,2.6,probabilistic_descent,random_search,0,7.554152338530114e-13,26199.935180885444
rastrigin,32,7.4,probabilistic_descent,de_rand_2_bin,0,121.38442818655903,168.52722783000883
rastrigin,13,3.6,de_rand_2_bin,random_search,0,11.254121757543203,70.5260944753659
griewank,158,32.6,de_rand_2_bin,random_search,0,328.4721921462817,2949.700604946343
griewank,129,26.8,de_rand_2_bin,random_search,0,239.65401302231615,2343.6874824725223
rosenbrock,69,14.8,probabilistic_descent,random_search,0,7.005868706453548e-11,3.3206199831659883e8
rastrigin,162,33.4,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,195.0117685488226,1064.6002604906446
rastrigin,37,8.4,generating_set_search,random_search,0,2.2737367544323206e-13,354.65020790022686
deceptive_cuccu2011_15_2,13,3.6,de_rand_2_bin,probabilistic_descent,0,0.0,6.647754215935201e-20
griewank,93,19.6,random_search,generating_set_search,1,1471.4489625547417,0.0
deceptive_cuccu2011_15_2,12,3.4,probabilistic_descent,generating_set_search,1,4.665768517078077e-20,7.724599291190348e-21
rosenbrock,148,30.6,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1.126008931505669e9,3.681222884943284e-12
griewank,45,10.0,random_search,probabilistic_descent,1,544.5932635580994,2.609024107869118e-14
rastrigin,83,17.6,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,6.964713399652737,477.57773179792184
griewank,91,19.2,de_rand_2_bin,probabilistic_descent,1,26.06895376623404,1.199040866595169e-13
griewank,229,46.8,random_search,adaptive_de_rand_1_bin_radiuslimited,1,4854.709018159721,0.02945911507349175
rastrigin,6,2.2,probabilistic_descent,de_rand_2_bin,1,1.9899181141865938,0.0
griewank,15,4.0,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.007396040334114895,0.0
griewank,173,35.6,generating_set_search,random_search,0,0.0,3428.072985949827
ackley,7,2.4,random_search,probabilistic_descent,1,7.471353035642462,2.2933832610760874e-10
rastrigin,120,25.0,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1628.7402672817216,82.58156647400801
ackley,97,20.4,probabilistic_descent,random_search,0,18.967751072338174,20.38121282375108
rosenbrock,256,52.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,2.4786565193057365e9,3.9866255502207406
rastrigin,29,6.8,de_rand_2_bin,generating_set_search,1,133.8121416307868,5.684341886080802e-14
rosenbrock,35,8.0,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,1.2350603547366466e-29,9.96865661676803e-16
ackley,28,6.6,generating_set_search,random_search,0,8.805756124274922e-11,18.770586701110556
deceptive_cuccu2011_15_2,218,44.6,generating_set_search,de_rand_2_bin,0,2.2707046369731205e-19,15960.92336146962
griewank,13,3.6,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,1,0.007396040334114895,3.3306690738754696e-16
rosenbrock,5,2.0,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,7.633755757316091e-16,0.0
rosenbrock,141,29.2,generating_set_search,random_search,0,2.0196784638929347e-15,1.0730825303697284e9
deceptive_cuccu2011_15_2,218,44.6,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,1.2306230121447784e-28,14538.167501163693
rastrigin,95,20.0,generating_set_search,random_search,0,9.094947017729282e-13,1279.7661613070704
rosenbrock,31,7.2,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,2.6057061775581546e-29,8.705902220725897e-8
griewank,182,37.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,605.3623462020662,0.0
rosenbrock,46,10.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1.3591263492919555e8,3.9985387133390036e-29
rosenbrock,6,2.2,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
griewank,6,2.2,generating_set_search,de_rand_2_bin,1,0.007396040334115006,0.0
griewank,18,4.6,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.0,0.0
rosenbrock,7,2.4,de_rand_2_bin,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
griewank,19,4.8,probabilistic_descent,de_rand_2_bin,1,1.3322676295501878e-15,0.0
rastrigin,169,34.8,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,0,5.9117155615240335e-12,132.32944870832716
rosenbrock,46,10.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,1.4384570734264243e8,1.8414971756252994e-29
deceptive_cuccu2011_15_2,41,9.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,21851.647683451447,0.0
rastrigin,23,5.6,probabilistic_descent,random_search,0,66.66206493260054,194.30143540382272
rosenbrock,20,5.0,random_search,adaptive_de_rand_1_bin_radiuslimited,1,9.094542388787895e6,0.0
griewank,21,5.2,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
ackley,79,16.8,random_search,adaptive_de_rand_1_bin_radiuslimited,1,20.270535735536715,3.552713678800501e-15
rastrigin,126,26.2,random_search,de_rand_2_bin,1,1722.3252063183827,1391.18087766333
ackley,93,19.6,generating_set_search,random_search,0,1.2369838486847584e-10,20.352299730701187
rastrigin,126,26.2,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,18.904222084771618,1362.3418214415801
ackley,6,2.2,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,1,0.0,0.0
rosenbrock,10,3.0,generating_set_search,random_search,0,8.14662309877492e-16,126460.37595176647
rastrigin,269,54.8,probabilistic_descent,random_search,0,1907.3248599897079,4062.595577465537
rastrigin,13,3.6,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,18.904201933496438
ackley,7,2.4,random_search,generating_set_search,1,7.532500012259707,3.2098768087962526e-11
ackley,28,6.6,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,9.352163488074439e-11,3.552713678800501e-15
rosenbrock,7,2.4,de_rand_2_bin,probabilistic_descent,0,0.0,1.0230804449927336e-12
griewank,269,54.8,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.01231607251926159,2.220446049250313e-16
griewank,66,14.2,random_search,de_rand_2_bin,1,893.0335898865596,0.12764385733408856
rosenbrock,135,28.0,random_search,probabilistic_descent,1,1.0461591346842768e9,1.2702242654370132e-9
ackley,29,6.8,probabilistic_descent,de_rand_2_bin,1,15.93977401507038,3.552713678800501e-15
griewank,42,9.4,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.0,0.0
ackley,91,19.2,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,18.812832823641134,3.552713678800501e-15
